model_name,clustering_algo,distance_metric,min_samples,threshold,total_tp,total_fn,total_fp,precision,recall,f1
Facenet,DBSCAN,cosine,5,0.18,835,201,797596,0.0010458010773629,0.805984555984556,0.0020888917241111
Facenet,DBSCAN,cosine,5,0.19,841,195,669583,0.0012544300323377,0.8117760617760618,0.0025049891281684
Facenet,DBSCAN,cosine,5,0.2,814,222,431786,0.0018816458622283,0.7857142857142857,0.0037543008421809
Facenet,DBSCAN,cosine,5,0.21,827,209,370504,0.0022271235097527,0.7982625482625483,0.0044418544070768
Facenet,DBSCAN,cosine,5,0.22,843,193,253143,0.0033190805792445,0.8137065637065637,0.0066111943283324
Facenet,DBSCAN,cosine,5,0.23,860,176,198088,0.0043227375997748,0.8301158301158301,0.0086006880550444
Facenet,DBSCAN,cosine,5,0.24,876,160,140380,0.0062015064846802,0.8455598455598455,0.012312709077109
Facenet,DBSCAN,cosine,5,0.25,883,153,116429,0.0075269367157665,0.8523166023166023,0.0149220941629769
Facenet,DBSCAN,cosine,5,0.26,881,155,75107,0.0115939358846133,0.8503861003861004,0.0228759867054424
Facenet,DBSCAN,cosine,5,0.27,915,121,76345,0.0118431271032876,0.8832046332046332,0.0233728415244712
Facenet,DBSCAN,cosine,5,0.28,945,91,100395,0.0093250444049733,0.9121621621621622,0.0184613581308119
Facenet,DBSCAN,cosine,5,0.29,958,78,100271,0.0094636912347252,0.9247104247104247,0.0187356378037451
Facenet,DBSCAN,cosine,5,0.3,975,61,203627,0.0047653493123234,0.9411196911196912,0.0094826831616724
Facenet,DBSCAN,cosine,2,0.165,599,437,24667,0.0237077495448428,0.5781853281853282,0.0455478670823511
Facenet,DBSCAN,cosine,2,0.1675,597,439,1,0.9983277591973244,0.5762548262548263,0.7307221542227663
Facenet,DBSCAN,cosine,3,0.165,637,399,168860,0.0037581786108308,0.6148648648648649,0.0074706948215301
Facenet,DBSCAN,cosine,3,0.1675,644,392,168452,0.0038084874863982,0.6216216216216216,0.0075705922460207
Facenet,DBSCAN,cosine,4,0.165,763,273,644995,0.0011815571777662,0.7364864864864865,0.0023593292454784
Facenet,DBSCAN,cosine,4,0.1675,752,284,614362,0.0012225376109143,0.7258687258687259,0.0024409640509616
Facenet,DBSCAN,cosine,5,0.165,867,169,1017999,0.0008509460517869,0.8368725868725869,0.0017001633490276
Facenet,DBSCAN,cosine,5,0.1675,856,180,986539,0.000866927622683931,0.8262548262548263,0.0017320379470089466
