model_name,clustering_algo,distance_metric,min_samples,threshold,total_tp,total_fn,total_fp,precision,recall,f1
Facenet512,DBSCAN,cosine,5,0.27,1009,27,47024,0.0210063914392188,0.973938223938224,0.0411257616825286
Facenet512,DBSCAN,cosine,5,0.28,1020,16,110400,0.0091545503500269,0.9845559845559846,0.0181404282563847
Facenet512,DBSCAN,cosine,5,0.29,1031,5,196134,0.0052291228159156,0.9951737451737452,0.0104035802039343
Facenet512,DBSCAN,cosine,5,0.3,1036,0,339090,0.0030459300376919,1.0,0.0060733610425545
Facenet512,DBSCAN,cosine,2,0.27,1021,15,121533,0.0083310214272891,0.9855212355212356,0.0165223723602233
Facenet512,DBSCAN,cosine,2,0.28,1029,7,174926,0.0058480861583927,0.9932432432432432,0.0116277098835534
Facenet512,DBSCAN,cosine,2,0.29,1033,3,319540,0.0032223549706307,0.997104247104247,0.0064239495785254
Facenet512,DBSCAN,cosine,2,0.3,1036,0,518509,0.0019940524882348,1.0,0.0039801683119437
Facenet512,DBSCAN,cosine,3,0.18,719,317,0,1.0,0.694015444015444,0.8193732193732194
Facenet512,DBSCAN,cosine,3,0.19,763,273,0,1.0,0.7364864864864865,0.8482490272373542
Facenet512,DBSCAN,cosine,3,0.191,768,268,0,1.0,0.7413127413127413,0.8514412416851441
Facenet512,DBSCAN,cosine,3,0.192,774,262,0,1.0,0.747104247104247,0.8552486187845304
Facenet512,DBSCAN,cosine,3,0.1925,775,261,0,1.0,0.7480694980694981,0.8558807288790723
Facenet512,DBSCAN,cosine,3,0.195,781,255,3,0.9961734693877552,0.7538610038610039,0.8582417582417582
Facenet512,DBSCAN,cosine,3,0.1975,790,246,4,0.9949622166246852,0.7625482625482626,0.8633879781420765
Facenet512,DBSCAN,cosine,3,0.2,805,231,5,0.9938271604938272,0.777027027027027,0.8721560130010834
Facenet512,DBSCAN,cosine,3,0.21,862,174,12,0.9862700228832952,0.832046332046332,0.9026178010471204
Facenet512,DBSCAN,cosine,3,0.22,896,140,18,0.9803063457330417,0.8648648648648649,0.918974358974359
Facenet512,DBSCAN,cosine,3,0.23,939,97,31,0.968041237113402,0.9063706563706564,0.9361914257228314
Facenet512,DBSCAN,cosine,3,0.235,945,91,48,0.9516616314199395,0.9121621621621622,0.9314933464760965
