precision,recall,f1,time
0.968944099378882,0.9034749034749034,0.935064935064935,76.83655453000029
0.9778714436248683,0.8957528957528957,0.9350125944584383,75.46430911599964
0.9726315789473684,0.8918918918918919,0.9305135951661632,72.72428402399964
0.9709241952232607,0.9025096525096525,0.9354677338669335,75.99682829700032
0.9688473520249221,0.9005791505791506,0.9334667333666833,72.85718425199957
0.970954356846473,0.9034749034749034,0.9359999999999999,71.4073096459997
0.9700103412616339,0.9054054054054054,0.9365951073389914,75.14709167400088
0.9686847599164927,0.8957528957528957,0.9307923771313942,70.72279303800042
0.9719917012448133,0.9044401544401545,0.9369999999999999,72.79784840400043
0.966804979253112,0.8996138996138996,0.932,72.74057498500042
