precision,recall,f1,time
0.5422993492407809,0.7239382239382239,0.6200909466721786,413.9789345019999
0.5382436260623229,0.7335907335907336,0.6209150326797386,413.7435220449988
0.5372076541459957,0.7316602316602316,0.6195341234164283,405.7199072709991
0.5398420674802584,0.7258687258687259,0.6191848497324002,403.01855134700236
0.5491452991452992,0.7442084942084942,0.631967213114754,423.5033603359989
0.5370501058574453,0.7345559845559846,0.6204647370566653,414.2084661780027
0.5467730239303843,0.7277992277992278,0.6244306418219462,411.78744591300347
0.5419901199717714,0.7413127413127413,0.6261720342437832,409.17730686699724
0.5356643356643357,0.7393822393822393,0.6212489862124899,399.99390612500065
0.5453247680228408,0.7374517374517374,0.6270004103405826,399.76810470299824
