precision,recall,f1,time
0.9682539682539683,0.8243243243243243,0.8905109489051095,11.77041477200055
0.976027397260274,0.8252895752895753,0.8943514644351465,11.806963461000123
0.9712313003452244,0.8146718146718147,0.8860892388451443,11.757670656999835
0.9704209328782708,0.8233590733590733,0.8908616187989555,11.813147464999929
0.9660249150622876,0.8233590733590733,0.8890046899426784,11.794740540999555
0.9705882352941176,0.8281853281853282,0.8937499999999999,11.863100796000253
0.9693877551020408,0.8252895752895753,0.8915537017726799,11.86019550400033
0.968,0.8175675675675675,0.8864468864468864,11.755158174999451
0.9728506787330317,0.8301158301158301,0.8958333333333333,11.751191447000565
0.9653243847874721,0.833011583011583,0.8943005181347151,11.721350419999908
