precision,recall,f1,time
0.9771908763505402,0.7857142857142857,0.8710540395933654,22.266313700999945
0.9793939393939394,0.7799227799227799,0.8683503492745837,20.90137896999977
0.9712858926342073,0.750965250965251,0.8470332063146435,20.682757448999837
0.9798488664987406,0.750965250965251,0.850273224043716,20.626795813999706
0.9833119383825417,0.7393822393822393,0.8440771349862258,20.772480103000362
0.974937343358396,0.750965250965251,0.8484187568157033,20.877084003000164
0.980246913580247,0.7664092664092664,0.8602383531960998,20.859462948999408
0.9825653798256538,0.7615830115830116,0.8580750407830342,20.654329414000586
0.9804432855280313,0.7258687258687259,0.834165280088741,20.84192920600026
0.9776951672862454,0.7615830115830116,0.8562126966901791,20.803361032999874
