precision,recall,f1,time
0.009495074984470673,0.8262548262548263,0.018774400140369348,0.4582630729998982
0.027471091657411642,0.8117760617760618,0.05314375987361769,0.4574527099999841
0.009472844512397794,0.8252895752895753,0.018730694240585363,0.44701523899993845
0.014315775520686627,0.833976833976834,0.02814836534232517,0.4712598240000716
0.009529719427330349,0.8301158301158301,0.018843120070113933,0.45625123399997847
0.02807486631016043,0.831081081081081,0.054314912944738836,0.4517730489999394
0.014138307371763071,0.8252895752895753,0.02780035766542026,0.46721738599990204
0.027987328957251558,0.8272200772200772,0.05414284360488991,0.4577025070000218
0.014213382752002119,0.8291505791505791,0.02794768349817803,0.4559133320000228
0.9651293588301463,0.8281853281853282,0.8914285714285716,0.45980420399996547
