precision,recall,f1,time
0.01044531798086881,0.9054054054054054,0.02065237733522684,62.446757380000236
0.030339686795043647,0.8957528957528957,0.058691458748379347,63.85060099800012
0.010389927881677056,0.9025096525096525,0.02054335526821712,60.79187346599974
0.01572839424068101,0.9131274131274131,0.030924128011506652,64.19274817699988
0.010527720031572043,0.9140926640926641,0.020815702997065574,59.843557610999596
0.03067624959163672,0.9063706563706564,0.059343992921696266,59.44874427300056
0.015555297590421386,0.9054054054054054,0.030585128062996236,63.66230587900009
0.030688696221168002,0.9054054054054054,0.059365209961710075,61.049350882
0.015617998041526282,0.9083011583011583,0.030707980485257882,62.033268318999944
0.966804979253112,0.8996138996138996,0.932,61.9304446569995
