precision,recall,f1,time
0.0007680700247992421,0.8185328185328186,0.0015346999643471824,4.634765752000021
0.0006534192295098252,0.8571428571428571,0.0013058429856158751,4.613638970000011
0.0007553232195403474,0.805984555984556,0.0015092320719948887,4.568389914999443
0.0007415099823178388,0.7905405405405406,0.001481630227427526,4.542446391999874
0.0007517789620984309,0.7799227799227799,0.001502110018404566,4.529491594999854
0.0007771086526482727,0.805019305019305,0.001552718420844407,4.529099264999786
0.0007118803492753983,0.8021235521235521,0.0014224982389951105,4.518441917000473
0.0008036746002295663,0.806949806949807,0.001605749967827378,4.582611602999805
0.0008151110829154447,0.8185328185328186,0.0016286003735410054,4.589819524999257
0.0007478238326469972,0.7963320463320464,0.0014942444420898776,4.581550003999837
