n,time
10000,1.619330439996702
20000,5.972074834000523
30000,12.662281734999851
40000,21.97531401499873
50000,33.52386158000445
60000,47.91254576900246
70000,64.35668017599892
80000,84.28975738299414
90000,106.50464422500227
100000,134.74727608100147
110000,161.54982688300151
120000,193.2356009530049
130000,235.63003858400043
140000,276.844694657997
150000,312.92026910598724
153019,321.22177886799545
