n,time
10000,1.6107653210019635
20000,5.955103371001314
30000,12.503851632001897
40000,21.598479575990496
50000,33.530171851001796
60000,47.9758341349916
70000,63.52529171200149
80000,83.79617653400419
90000,106.27904183799546
100000,132.53265416900103
110000,162.20114542499505
120000,201.011110448002
130000,231.9325980590038
140000,279.83532317199933
150000,319.9476596090026
153019,327.6584017470086
