n,time
10000,1.7137667990027694
20000,6.377190516001065
30000,13.492181068999344
40000,23.27536981600133
50000,37.0399596419993
60000,52.47851020000053
70000,70.5171531750002
80000,91.20023495299938
90000,114.60050551300083
100000,141.2476167249988
110000,171.48372916099834
120000,199.479156772004
130000,233.24204804200053
140000,272.8359910379968
150000,320.6457057569969
153019,336.8135804279991
