,DBSCAN
10000,2.021078228999613
20000,5.296271772000182
30000,11.459425941000518
40000,20.191852617001132
50000,33.92296541900032
60000,49.09718951300056
70000,66.36966705499981
80000,87.70910759599974
90000,108.41497584699937
100000,141.70031319400005
110000,165.64089974200033
120000,198.86565059199893
130000,238.085564074001
140000,274.50080642800094
150000,313.59627820199967
153019,325.3536614599998
